Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Doris.X,2022.06.27 07:48:08 EDT,37494,VPN,0,1,172.28.168.133,10.128.20.108,UDP,1194,2030862510,
openvpn-server,Kelly.G,2022.06.27 08:15:32 EDT,32314,VPN,0,1,172.19.185.189,10.128.20.194,UDP,1194,2363122820,
openvpn-server,Dorothy.D,2022.06.27 08:43:39 EDT,18184,VPN,0,1,172.22.90.19,10.128.20.43,UDP,1194,2009804784,
openvpn-server,James.V,2022.06.27 08:54:02 EDT,2266,VPN,0,1,172.25.206.19,10.128.20.78,UDP,1194,137904228,
openvpn-server,Joan.P,2022.06.27 09:28:35 EDT,20074,VPN,0,1,172.23.234.95,10.128.20.106,UDP,1194,1318901948,
openvpn-server,Logan.Y,2022.06.27 10:00:26 EDT,13546,VPN,0,1,172.17.28.67,10.128.20.29,UDP,1194,2048818954,
openvpn-server,Emma.H,2022.06.27 10:22:30 EDT,12828,VPN,0,1,172.22.196.231,10.128.20.201,UDP,1194,475559616,
openvpn-server,Jeffrey.Z,2022.06.27 10:44:26 EDT,2696,VPN,0,1,172.31.189.230,10.128.20.227,UDP,1194,449482512,
openvpn-server,Abigail.F,2022.06.27 11:19:21 EDT,,VPN,0,0,172.29.89.207,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Russell.A,2022.06.27 11:30:15 EDT,14818,VPN,0,1,172.27.246.131,10.128.20.193,UDP,1194,476576516,
openvpn-server,Andrew.E,2022.06.27 11:55:45 EDT,23684,VPN,0,1,172.24.198.141,10.128.20.79,UDP,1194,2013921572,
openvpn-server,Melissa.H,2022.06.27 12:34:20 EDT,13520,VPN,0,1,172.27.74.48,10.128.20.146,UDP,1194,2343908320,
openvpn-server,James.V,2022.06.27 12:55:06 EDT,1524,VPN,0,1,172.21.144.72,10.128.20.97,UDP,1194,96585024,
openvpn-server,Jeffrey.Z,2022.06.27 13:14:58 EDT,20722,VPN,0,1,172.16.8.71,10.128.20.212,UDP,1194,473829252,
openvpn-server,Martha.W,2022.06.27 13:29:42 EDT,3279,VPN,0,1,172.21.194.149,10.128.20.105,UDP,1194,101121081,
openvpn-server,Mary.J,2022.06.27 13:46:15 EDT,5931,VPN,0,1,172.28.39.144,10.128.20.151,UDP,1194,1305442755,
openvpn-server,Teresa.I,2022.06.27 14:15:53 EDT,8867,VPN,0,1,172.17.49.228,10.128.20.14,UDP,1194,2098712496,
openvpn-server,Dorothy.D,2022.06.27 14:37:00 EDT,7669,VPN,0,1,172.23.213.98,10.128.20.164,UDP,1194,612983170,
openvpn-server,James.V,2022.06.27 15:14:37 EDT,,VPN,0,0,172.26.184.193,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Brian.A,2022.06.27 15:53:13 EDT,14211,VPN,0,1,172.24.171.140,10.128.20.213,UDP,1194,2314019763,
openvpn-server,Denise.P,2022.06.27 16:10:26 EDT,5852,VPN,0,1,172.19.88.97,10.128.20.228,UDP,1194,24935372,
openvpn-server,Justin.T,2022.06.27 16:24:40 EDT,,VPN,0,0,172.16.177.220,,UDP,1194,,user not found
openvpn-server,Logan.Y,2022.06.27 16:50:48 EDT,6015,VPN,0,1,172.21.14.240,10.128.20.72,UDP,1194,1144744725,
openvpn-server,Lawrence.A,2022.06.27 17:27:53 EDT,2335,VPN,0,1,172.31.198.246,10.128.20.200,UDP,1194,589774300,
openvpn-server,Russell.A,2022.06.27 17:51:56 EDT,2950,VPN,0,1,172.27.80.57,10.128.20.237,UDP,1194,315762100,
openvpn-server,Abigail.F,2022.06.27 18:19:47 EDT,2652,VPN,0,1,172.30.32.162,10.128.20.203,UDP,1194,218222472,
openvpn-server,Louis.Z,2022.06.27 18:52:09 EDT,,VPN,0,0,172.18.222.238,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Nicole.Z,2022.06.28 07:14:25 EDT,22850,VPN,0,1,172.18.230.192,10.128.20.181,UDP,1194,1280559700,
openvpn-server,Martha.W,2022.06.28 07:27:07 EDT,21192,VPN,0,1,172.27.242.207,10.128.20.167,UDP,1194,1634835648,
openvpn-server,Melissa.H,2022.06.28 07:39:17 EDT,25109,VPN,0,1,172.23.15.14,10.128.20.76,UDP,1194,1706960038,
openvpn-server,Dorothy.D,2022.06.28 08:07:09 EDT,23255,VPN,0,1,172.18.208.99,10.128.20.31,UDP,1194,491006070,
